,stations_id,stationshoehe,geogr_breite,geogr_laenge,von_datum,bis_datum,stationsname
0,2485,556.0,48.9293,9.6425,1934-09-01 00:00:00+01:00,1940-12-31 00:00:00+02:00,Kaisersbach-Cronhütte
1,2485,564.0,48.9282,9.6389,1948-10-01 00:00:00+01:00,1950-10-31 00:00:00+01:00,Kaisersbach-Cronhütte
2,2485,565.0,48.9284,9.6389,1950-11-01 00:00:00+01:00,1953-04-30 00:00:00+01:00,Kaisersbach-Cronhütte
3,2485,562.0,48.9282,9.6375,1953-05-01 00:00:00+01:00,1996-12-31 00:00:00+01:00,Kaisersbach-Cronhütte
4,2485,558.0,48.9321,9.6428,1997-01-01 00:00:00+01:00,1999-08-31 00:00:00+02:00,Kaisersbach-Cronhütte
5,2485,562.0,48.9282,9.6375,1999-09-01 00:00:00+02:00,2001-12-31 00:00:00+01:00,Kaisersbach-Cronhütte
6,2485,489.0,48.9171,9.6875,2008-03-01 00:00:00+01:00,2011-04-30 00:00:00+02:00,Kaisersbach-Cronhütte
7,2485,488.7,48.917,9.6871,2011-05-01 00:00:00+02:00,2014-01-19 00:00:00+01:00,Kaisersbach-Cronhütte
8,2485,488.7,48.917,9.6871,2014-01-20 00:00:00+01:00,,Kaisersbach-Cronhütte
9,3083,50.0,51.932,13.8982,1885-02-01 00:00:00+00:18,1991-08-31 00:00:00+02:00,Lübben-Blumenfelde
10,3083,57.0,51.927,13.8804,1991-09-01 00:00:00+02:00,2004-12-31 00:00:00+01:00,Lübben-Blumenfelde
11,3083,56.5,51.9267,13.8797,2005-01-01 00:00:00+01:00,,Lübben-Blumenfelde
12,6336,288.0,50.0132,9.654,2005-11-01 00:00:00+01:00,,Lohr/Main-Halsbach
13,2951,17.0,53.0985,11.4652,1890-01-01 00:00:00+00:18,1994-09-30 00:00:00+01:00,Lenzen/Elbe
14,2951,20.0,53.1007,11.4864,1994-10-01 00:00:00+01:00,,Lenzen/Elbe
15,125,756.0,47.8333,10.8667,1961-04-12 00:00:00+01:00,1974-02-28 00:00:00+01:00,Altenstadt
16,125,756.0,47.8333,10.8667,1974-03-01 00:00:00+01:00,2007-12-02 00:00:00+01:00,Altenstadt
