,stations_id,betreibername,betrieb_von_datum,betrieb_bis_datum
0,1735,DWD,1995-11-16 00:00:00+01:00,
1,342,DWD,1994-06-01 00:00:00+02:00,1998-11-30 00:00:00+01:00
2,342,DWD,2010-11-16 00:00:00+01:00,
3,7370,DWD,2006-07-31 00:00:00+02:00,
4,6097,DWD,1998-11-04 00:00:00+01:00,
5,3442,Wetterdienst,1900-11-01 00:00:00+00:18,1952-11-10 00:00:00+01:00
6,3442,DWD,1952-11-11 00:00:00+01:00,2001-04-02 00:00:00+02:00
7,3442,DWD,2004-03-25 00:00:00+01:00,
8,5688,Wetterdienst,1937-11-08 00:00:00+00:00,1952-11-10 00:00:00+01:00
9,5688,DWD,1952-11-11 00:00:00+01:00,
10,7389,DWD,2006-02-01 00:00:00+01:00,
11,3857,DWD,1993-10-01 00:00:00+01:00,
12,15000,DWD,2010-10-20 00:00:00+02:00,
13,1297,Wetterdienst,1888-11-01 00:00:00+00:18,1952-11-10 00:00:00+01:00
14,1297,DWD,1952-11-11 00:00:00+01:00,
15,1078,Wetterdienst,1938-01-01 00:00:00+00:00,1952-11-10 00:00:00+01:00
16,1078,DWD,1952-11-11 00:00:00+01:00,
17,2044,Wetterdienst,1870-01-01 00:00:00+00:18,1949-12-31 00:00:00+01:00
18,2044,Meteorologischer Dienst der DDR,1950-01-01 00:00:00+01:00,1990-12-31 00:00:00+01:00
19,2044,DWD,1991-01-01 00:00:00+01:00,
20,3621,Wetterdienst,1899-12-01 00:00:00+00:18,1909-12-31 00:00:00+00:00
21,3621,Wetterdienst,1910-03-21 00:00:00+00:00,1945-04-30 00:00:00+02:00
22,3621,Wetterdienst,1946-09-01 00:00:00+02:00,1952-11-10 00:00:00+01:00
23,3621,DWD,1952-11-11 00:00:00+01:00,
24,3348,DWD,1990-07-01 00:00:00+02:00,
25,4323,Wetterdienst,1902-08-01 00:00:00+00:00,1952-11-10 00:00:00+01:00
26,4323,DWD,1952-11-11 00:00:00+01:00,
27,330,Wetterdienst,1900-11-15 00:00:00+00:18,1952-11-10 00:00:00+01:00
28,330,DWD,1952-11-11 00:00:00+01:00,
29,5335,Wetterdienst,1882-02-01 00:00:00+00:18,1949-12-31 00:00:00+01:00
30,5335,Meteorologischer Dienst der DDR,1950-01-01 00:00:00+01:00,1990-12-31 00:00:00+01:00
31,5335,DWD,1991-01-01 00:00:00+01:00,1999-09-30 00:00:00+02:00
32,5335,DWD,2006-05-09 00:00:00+02:00,
33,2023,DWD,1974-10-09 00:00:00+01:00,
34,2985,Wetterdienst,1936-06-01 00:00:00+01:00,1945-02-28 00:00:00+01:00
35,2985,DWD,1991-01-02 00:00:00+01:00,
36,15813,DWD,2016-12-20 00:00:00+01:00,
37,6093,DWD,1998-02-01 00:00:00+01:00,
38,4560,Wetterdienst,1900-12-01 00:00:00+00:18,1952-11-10 00:00:00+01:00
39,4560,DWD,1952-11-11 00:00:00+01:00,
40,5779,DWD,1971-01-01 00:00:00+01:00,
41,1584,Wetterdienst,1936-12-14 00:00:00+00:00,1952-11-10 00:00:00+01:00
42,1584,DWD,1952-11-11 00:00:00+01:00,2003-12-31 00:00:00+01:00
43,1584,DWD,2008-12-04 00:00:00+01:00,
44,4878,DWD,1891-01-01 00:00:00+00:18,2013-12-12 00:00:00+01:00
45,4878,DWD,2017-04-25 00:00:00+02:00,
46,1357,Wetterdienst,1929-10-01 00:00:00+01:00,1952-11-10 00:00:00+01:00
47,1357,DWD,1952-11-11 00:00:00+01:00,
48,3147,Wetterdienst,1936-02-11 00:00:00+00:00,1952-11-10 00:00:00+01:00
49,3147,DWD,1952-11-11 00:00:00+01:00,2000-03-31 00:00:00+02:00
50,3147,DWD,2012-09-13 00:00:00+02:00,2020-08-05 00:00:00+02:00
51,3147,DWD,2021-03-08 00:00:00+01:00,
52,125,GeophysBdBw,1961-04-12 00:00:00+01:00,2003-03-10 00:00:00+01:00
53,125,GeoInfoDBw,2003-03-11 00:00:00+01:00,
54,1050,Wetterdienst,1899-02-01 00:00:00+00:18,1949-12-31 00:00:00+01:00
55,1050,Meteorologischer Dienst der DDR,1950-01-01 00:00:00+01:00,1990-12-31 00:00:00+01:00
56,1050,DWD,1991-01-01 00:00:00+01:00,1996-01-16 00:00:00+01:00
57,1050,DWD,1999-07-01 00:00:00+02:00,
58,4393,Wetterdienst,1884-11-01 00:00:00+00:18,1952-11-10 00:00:00+01:00
